"id"	"symbol"	"Tau"	"class"	"whichMAX"	"nbMAX"	"maxlog10TPM"	"day"
"118"	"ENSMUSG00000026000"	"Lancl1"	0.322038914213986	"housekeeping"	"FAPs"	1	0.67411423296075	"D0"
"119"	"ENSMUSG00000026003"	"Acadl"	0.0999611910106613	"housekeeping"	"sCs"	1	1.2729007516108	"D0"
"120"	"ENSMUSG00000026004"	"Kansl1l"	0.207683562609622	"housekeeping"	"ECs"	1	1.6170657617477	"D0"
"121"	"ENSMUSG00000026020"	"Nop58"	0.230971221169744	"housekeeping"	"sCs"	1	1.68155658477977	"D0"
"122"	"ENSMUSG00000026024"	"Als2"	0.361741225748023	"housekeeping"	"ECs"	1	0.911798007878049	"D0"
"123"	"ENSMUSG00000026028"	"Trak2"	0.050908119350069	"housekeeping"	"ECs"	1	1.24224729645879	"D0"
"124"	"ENSMUSG00000026029"	"Casp8"	0.494616527366446	"housekeeping"	"ECs"	1	1.23621893335056	"D0"
"125"	"ENSMUSG00000026032"	"Ndufb3"	0.103895232532924	"housekeeping"	"sCs"	1	0.957233042817827	"D0"
"126"	"ENSMUSG00000026036"	"Nif3l1"	0.206261877528113	"housekeeping"	"FAPs"	1	0.741874723974129	"D0"
"127"	"ENSMUSG00000026037"	"Orc2"	0.262541398904675	"housekeeping"	"sCs"	1	0.89254443462534	"D0"
"128"	"ENSMUSG00000026039"	"Sgo2a"	0.491818844727788	"housekeeping"	"sCs"	1	0.616213390690814	"D0"
"129"	"ENSMUSG00000026042"	"Col5a2"	0.599001129158739	"intermediate"	"FAPs"	1	2.33955131177167	"D0"
"130"	"ENSMUSG00000026043"	"Col3a1"	0.697730570911859	"intermediate"	"FAPs"	1	3.33468828843165	"D0"
"131"	"ENSMUSG00000026047"	"Poglut2"	0.242582830422591	"housekeeping"	"FAPs"	1	1.04500459398331	"D0"
"132"	"ENSMUSG00000026049"	"Tex30"	0.325000527893879	"housekeeping"	"sCs"	1	0.89059602581553	"D0"
"133"	"ENSMUSG00000026062"	"Slc9a2"	0.991447926813356	"specific"	"sCs"	1	0.26839289209472	"D0"
"134"	"ENSMUSG00000026069"	"Il1rl1"	0.998380787838676	"specific"	"FAPs"	1	0.572957503830538	"D0"
"135"	"ENSMUSG00000026072"	"Il1r1"	0.386117647981909	"housekeeping"	"FAPs"	1	1.41342183664853	"D0"
"136"	"ENSMUSG00000026074"	"Map4k4"	0.0888446293997711	"housekeeping"	"sCs"	1	1.85152461214612	"D0"
"137"	"ENSMUSG00000026078"	"Pdcl3"	0.123531510361736	"housekeeping"	"FAPs"	1	0.866619090361117	"D0"
"138"	"ENSMUSG00000026080"	"Chst10"	0.990101255512009	"specific"	"FAPs"	1	0.335131687842707	"D0"
"139"	"ENSMUSG00000026082"	"Rev1"	0.0591330925212019	"housekeeping"	"sCs"	1	1.09297305414713	"D0"
"140"	"ENSMUSG00000026083"	"Eif5b"	0.0394239848231355	"housekeeping"	"ECs"	1	1.19131112461604	"D0"
"141"	"ENSMUSG00000026087"	"Mrpl30"	0.0850506967365899	"housekeeping"	"sCs"	1	1.22249108176412	"D0"
"142"	"ENSMUSG00000026088"	"Mitd1"	0.279879140311747	"housekeeping"	"ECs"	1	1.13321546956199	"D0"
"143"	"ENSMUSG00000026094"	"Stk17b"	0.384951840125349	"housekeeping"	"ECs"	1	1.50816901996383	"D0"
"144"	"ENSMUSG00000026095"	"Asnsd1"	0.019662567435668	"housekeeping"	"FAPs"	1	0.989012317710512	"D0"
"145"	"ENSMUSG00000026096"	"Osgepl1"	0.159442965468094	"housekeeping"	"sCs"	1	0.777457287229563	"D0"
"146"	"ENSMUSG00000026097"	"Ormdl1"	0.249635363488248	"housekeeping"	"sCs"	1	0.553033490145419	"D0"
"147"	"ENSMUSG00000026107"	"Nabp1"	0.347210429652055	"housekeeping"	"ECs"	1	1.87759799316946	"D0"
"148"	"ENSMUSG00000026109"	"Tmeff2"	0.971127733300178	"specific"	"FAPs"	1	1.15746708846797	"D0"
"149"	"ENSMUSG00000026110"	"Mgat4a"	0.411817503901163	"housekeeping"	"ECs"	1	1.49717400163904	"D0"
"150"	"ENSMUSG00000026111"	"Unc50"	0.0900914403688402	"housekeeping"	"ECs"	1	1.19062350862389	"D0"
"151"	"ENSMUSG00000026113"	"Inpp4a"	0.175197851999798	"housekeeping"	"ECs"	1	1.25465352837361	"D0"
"152"	"ENSMUSG00000026116"	"Tmem131"	0.0454513611465283	"housekeeping"	"ECs"	1	1.41597741270209	"D0"
"153"	"ENSMUSG00000026121"	"Sema4c"	0.551517570262682	"intermediate"	"FAPs"	1	0.975343163336144	"D0"
"154"	"ENSMUSG00000026123"	"Plekhb2"	0.349415071175199	"housekeeping"	"ECs"	1	0.897854436401371	"D0"
"155"	"ENSMUSG00000026126"	"Ptpn18"	0.994874844210812	"specific"	"ECs"	1	0.540603818116521	"D0"
"156"	"ENSMUSG00000026127"	"Imp4"	0.152561142336117	"housekeeping"	"ECs"	1	0.818846947134621	"D0"
"157"	"ENSMUSG00000026134"	"Prim2"	0.0720011573131752	"housekeeping"	"sCs"	1	0.799747606159984	"D0"
"158"	"ENSMUSG00000026141"	"Col19a1"	0.996148521587129	"specific"	"sCs"	1	0.615695822566736	"D0"
"159"	"ENSMUSG00000026142"	"Rhbdd1"	0.0949009089402007	"housekeeping"	"ECs"	1	0.878564185725817	"D0"
"160"	"ENSMUSG00000026149"	"Tm4sf20"	0.214865079551916	"housekeeping"	"FAPs"	1	0.335408552817086	"D0"
"161"	"ENSMUSG00000026150"	"Mff"	0.0224618444988249	"housekeeping"	"ECs"	1	1.56265434114378	"D0"
"162"	"ENSMUSG00000026153"	"Fam135a"	0.518615670216959	"intermediate"	"sCs"	1	1.05870279568604	"D0"
"163"	"ENSMUSG00000026154"	"Sdhaf4"	0.477311848810318	"housekeeping"	"FAPs"	1	0.636393212867423	"D0"
"164"	"ENSMUSG00000026155"	"Smap1"	0.0785580525306071	"housekeeping"	"FAPs"	1	1.38425118216553	"D0"
"165"	"ENSMUSG00000026158"	"Ogfrl1"	0.385771750158583	"housekeeping"	"ECs"	1	1.04256108554855	"D0"
"166"	"ENSMUSG00000026159"	"Agfg1"	0.0852470649443248	"housekeeping"	"FAPs"	1	1.28638313938488	"D0"
"167"	"ENSMUSG00000026162"	"Nhej1"	0.597572854587077	"intermediate"	"FAPs"	1	0.289496842167025	"D0"
