Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
Neutrophils,Tgfb1,Sdc2,Inflammatory-Mac,3.0,1.0,3917.1404181938756,0.2926342329366644,3.0,1.0,5.754440001434325,0.001638724078741174,22540.94951369003,0.00047954676377726536
ECs,Bmp7,Bmpr2,ECs,2.0,0.6666666666666666,3.3524605866956763,0.2746838885507227,3.0,1.0,6523.973256711023,0.2595055467716481,21871.363211780343,0.07128199268771772
ECs,Bmp10,Bmpr2,MuSCs,2.0,0.6666666666666666,5.025328936451356,0.037612376478382815,3.0,1.0,4167.49400365693,0.1657713432491558,20943.02820906468,0.006235054171614472
ECs,Fn1,Sdc2,Inflammatory-Mac,3.0,1.0,3634.6689746950397,0.02695460597331291,3.0,1.0,5.754440001434325,0.001638724078741174,20915.48453995742,4.417116184144854e-05
MuSCs,Hsp90aa1,Cftr,Neutrophils,3.0,1.0,16155.746916742068,0.323554616602088,1.0,0.3333333333333333,1.2689501894145272,1.0,20500.838110133,0.323554616602088
FAPs,Serping1,Sele,MuSCs,3.0,1.0,5236.8179317453605,0.5461259356757847,2.0,0.6666666666666666,3.911229279133256,0.007364744358609255,20482.39562413251,0.004022077903858436
FAPs,Mmp2,Sdc2,Inflammatory-Mac,3.0,1.0,3547.881125318227,0.8999772557741288,3.0,1.0,5.754440001434325,0.001638724078741174,20416.06906786503,0.001474814399356469
ECs,Psap,Gpr37l1,Inflammatory-Mac,3.0,1.0,4178.496745472624,0.022730666838965158,2.0,0.6666666666666666,4.87017628543543,0.08099757974335738,20350.01575856989,0.00184112899990877
ECs,Ccl12,Ccr2,Resolving-Mac,1.0,0.3333333333333333,7.091818521521732,0.009858891105802656,3.0,1.0,2829.465846795446,0.1567558274094058,20066.05829831712,0.0015454386326293269
FAPs,Mfng,Notch2,Neutrophils,2.0,0.6666666666666666,1.7734250521062067,0.003014485942104848,3.0,1.0,11167.1171577267,0.3716688588753044,19804.04532731759,0.001120390550197756
Neutrophils,Gnai2,Lpar3,ECs,3.0,1.0,5107.935439775263,0.2143176180006342,2.0,0.6666666666666666,3.8473215898241735,0.0523998536005095,19651.8702968754,0.01123021180724315
FAPs,Wnt3a,Lrp1,Inflammatory-Mac,1.0,0.3333333333333333,0.6144973600656134,0.6738299154793083,3.0,1.0,31890.05387527407,0.2527652788953986,19596.3539187061,0.1703208065141902
MuSCs,Fn1,Sdc2,Inflammatory-Mac,3.0,1.0,3334.55774746823,0.024728989298346042,3.0,1.0,5.754440001434325,0.001638724078741174,19188.512489123917,4.052399020613246e-05
Neutrophils,Rtn4,Tnfrsf19,FAPs,3.0,1.0,2778.54737919509,0.110663891833246,2.0,0.6666666666666666,6.663110163245282,0.09751109364276576,18513.767281373348,0.010790957119424559
Inflammatory-Mac,Fn1,Tnfrsf11b,Resolving-Mac,3.0,1.0,43059.939677243834,0.3193313380985716,1.0,0.3333333333333333,0.42686015269,0.00150898599634883,18380.57242545049,0.00048186651738607833
Neutrophils,Cxcl2,Cxcr1,FAPs,3.0,1.0,54460.771824612166,0.802859539981203,1.0,0.3333333333333333,0.3335424494186234,0.002123171958016314,18164.97923160989,0.001704608861513967
Inflammatory-Mac,A2m,Lrp1,Resolving-Mac,1.0,0.3333333333333333,0.3674182452166666,0.08649590638931823,3.0,1.0,49336.8402663671,0.3910510856620129,18127.25527520358,0.033824318098862736
Resolving-Mac,Anpep,Sele,MuSCs,3.0,1.0,4618.7207714043325,0.5439118126509572,2.0,0.6666666666666666,3.911229279133256,0.007364744358609255,18064.87591325757,0.004005771453802071
Resolving-Mac,Thbs1,Tnfrsf11b,Resolving-Mac,3.0,1.0,42151.31270492374,0.2507341267464054,1.0,0.3333333333333333,0.42686015269,0.00150898599634883,17992.71577730769,0.0003783542860670785
Inflammatory-Mac,Gnai2,Lpar3,ECs,3.0,1.0,4674.2523155706185,0.1961212380262816,2.0,0.6666666666666666,3.8473215898241735,0.0523998536005095,17983.35184998048,0.01027672416052783
ECs,Bmp10,Bmpr2,Inflammatory-Mac,2.0,0.6666666666666666,5.025328936451356,0.037612376478382815,3.0,1.0,3528.34656311774,0.1403478322232325,17731.10208146427,0.005278815503505127
Neutrophils,Selplg,Sele,MuSCs,3.0,1.0,4459.569247129367,0.5631212322600245,2.0,0.6666666666666666,3.911229279133256,0.007364744358609255,17442.39781169463,0.004147243918500107
Inflammatory-Mac,Cd86,Ctla4,ECs,3.0,1.0,3244.796573617287,0.6786828728868808,1.0,0.3333333333333333,5.349640744920467,0.6743052627086868,17358.49595920136,0.4576394328978745
FAPs,Wnt3a,Lrp1,FAPs,1.0,0.3333333333333333,0.6144973600656134,0.6738299154793083,3.0,1.0,28166.347054000467,0.2232506284377618,17308.14590737515,0.1504329520909195
ECs,Bmp10,Bmpr2,Resolving-Mac,2.0,0.6666666666666666,5.025328936451356,0.037612376478382815,3.0,1.0,3407.52072028136,0.1355417155860826,17123.91247718748,0.005098046035149625
Resolving-Mac,Tgfb1,Sdc2,Inflammatory-Mac,3.0,1.0,2948.42623545469,0.2202653869070251,3.0,1.0,5.754440001434325,0.001638724078741174,16966.54187057889,0.00036095419323778284
ECs,Gdf6,Bmpr2,FAPs,1.0,0.3333333333333333,3.5664271632803337,0.2488347253279371,3.0,1.0,4646.2987110213035,0.1848168654320703,16570.68593170078,0.045988853945759536
Resolving-Mac,Gnai2,Lpar3,ECs,3.0,1.0,4294.025951830644,0.1801677849064083,2.0,0.6666666666666666,3.8473215898241735,0.0523998536005095,16520.49875174333,0.00944076555262388
Inflammatory-Mac,Col4a5,Cd93,Resolving-Mac,1.0,0.3333333333333333,1.265112835644327,0.003484492403834992,3.0,1.0,13050.60377799323,0.3017375769904643,16510.48635244758,0.0010514022949748491
ECs,B2m,Gm11127,Resolving-Mac,3.0,1.0,13981.41357495143,0.1389111410883978,2.0,0.6666666666666666,1.171485288388913,0.3648354070357528,16379.02031393664,0.05067970270078651
FAPs,Mfng,Notch2,Inflammatory-Mac,2.0,0.6666666666666666,1.7734250521062067,0.003014485942104848,3.0,1.0,9017.84348506259,0.3001357960402746,15992.469552382741,0.0009047551378858557
FAPs,Gnai2,Adcy1,ECs,3.0,1.0,2133.900411616403,0.08953371839960489,3.0,1.0,7.434171776531496,0.0996820233635578,15863.78221396761,0.008924902209335618
FAPs,Postn,Ptk7,Resolving-Mac,3.0,1.0,16687.078766805167,0.7564986810664659,2.0,0.6666666666666666,0.9452420961031334,0.001255221823347122,15773.32931137301,0.000949573653807942
Resolving-Mac,Gpc3,Cd81,ECs,3.0,1.0,3.798541763370483,0.0046129976469655954,3.0,1.0,4132.049930389029,0.4558167442837606,15695.764228914832,0.002102681568828506
ECs,Bmp7,Bmpr2,FAPs,2.0,0.6666666666666666,3.3524605866956763,0.2746838885507227,3.0,1.0,4646.2987110213035,0.1848168654320703,15576.53330271384,0.050766215266636716
Neutrophils,Cd80,Ctla4,ECs,3.0,1.0,2861.864028217187,0.6226153251436475,1.0,0.3333333333333333,5.349640744920467,0.6743052627086868,15309.944411772882,0.4198327903874417
FAPs,Glg1,Sele,MuSCs,3.0,1.0,3911.1097770254296,0.2140991530228424,2.0,0.6666666666666666,3.911229279133256,0.007364744358609255,15297.247073806202,0.001576785529407998
Resolving-Mac,Cntn1,Notch2,Neutrophils,2.0,0.6666666666666666,1.35599654294592,0.1922567689841729,3.0,1.0,11167.1171577267,0.3716688588753044,15142.572260549468,0.07145585393940057
ECs,Gdf6,Bmpr2,MuSCs,1.0,0.3333333333333333,3.5664271632803337,0.2488347253279371,3.0,1.0,4167.49400365693,0.1657713432491558,14863.06381744998,0.04124966666464686
ECs,Bmp10,Bmpr2,Neutrophils,2.0,0.6666666666666666,5.025328936451356,0.037612376478382815,3.0,1.0,2866.38143033818,0.1140166967378107,14404.50954478528,0.004288438922524138
