"gene"	"Young.FAPs.D0_1"	"Young.FAPs.D0_2"	"Young.FAPs.D0_3"	"Young.MuSCs.D0_2"	"Young.MuSCs.D0_1"	"Young.MuSCs.D0_3"	"Young.ECs.D0_2"	"Young.ECs.D0_1"	"Young.ECs.D0_3"
"ENSMUSG00000026110"	5.371525	6.938972	5.533411	5.668193	11.400312	6.152708	33.197567	24.81398	34.164513
"ENSMUSG00000026111"	12.097839	14.288144	13.990263	11.069024	8.996568	7.764172	19.809916	10.66533	14.460485
"ENSMUSG00000026113"	14.756178	10.934654	12.092853	12.357837	12.074044	3.058712	39.957993	9.459949	12.938623
"ENSMUSG00000026116"	19.683043	17.518999	18.251749	28.791143	22.703987	23.741753	29.550293	19.382912	27.477154
"ENSMUSG00000026117"	0	0	0	0.522748	0	0	0	0	0.496946
"ENSMUSG00000026121"	7.714329	8.154781	9.584341	5.965776	2.942215	6.063478	0	12.644385	18.311304
"ENSMUSG00000026123"	2.906234	2.362939	2.299675	3.48694	3.132159	2.995956	20.301737	3.039295	5.33362
"ENSMUSG00000026125"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000026126"	0	0.081844	0	0.402796	0	0.03247	20.54385	0.436773	1.683873
"ENSMUSG00000026127"	4.478965	3.746672	2.974992	4.626918	2.102186	7.708438	11.880246	3.670125	4.004913
"ENSMUSG00000026134"	3.663087	4.288116	5.114112	7.268872	2.422007	8.484703	6.35628	3.167487	5.28645
"ENSMUSG00000026141"	0	0	0	8.509326	4.22195	0.851566	0	0.048431	0.212978
"ENSMUSG00000026142"	6.633589	5.187432	6.639978	4.896105	3.519912	5.195897	9.70587	5.461364	5.327488
"ENSMUSG00000026147"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000026149"	1.333095	0.933099	1.270322	1.243002	0.892096	0.431482	3.155921	0.339139	0.651735
"ENSMUSG00000026150"	30.644964	33.635887	36.908398	41.072056	23.556719	33.177162	54.900326	23.668146	34.519211
"ENSMUSG00000026153"	8.933319	6.794045	7.275823	14.612152	8.832625	8.835016	0	8.443027	9.290699
"ENSMUSG00000026154"	2.617243	2.938035	4.798023	3.674105	1.361758	6.167579	0	2.733768	4.906742
"ENSMUSG00000026155"	24.496773	20.541935	24.893015	19.493536	12.517042	16.864607	33.830627	13.759109	16.904156
"ENSMUSG00000026156"	0	1.50965	0	0.221059	0.821016	0	1.358418	0.847833	0
"ENSMUSG00000026158"	9.082659	5.563582	5.754247	1.774547	1.309063	1.462286	72.786606	3.487387	3.974693
"ENSMUSG00000026159"	12.395702	22.402742	22.202082	18.004255	8.546894	12.68166	23.808388	10.578319	15.42334
"ENSMUSG00000026162"	1.170503	0.544118	1.335954	0.399662	0.792953	0.756288	1.118394	0	1.187382
"ENSMUSG00000026163"	0.655398	1.3648	0.903795	0.214541	0.106127	0	0	0	0
"ENSMUSG00000026166"	0	0	0	0	0	0	0	0	0
