"gene"	"Old.Resolving-Mac.D4_2"	"Old.Inflammatory-Mac.D4_3"	"Old.Resolving-Mac.D4_3"	"Old.Inflammatory-Mac.D4_2"	"Old.Inflammatory-Mac.D4_1"	"Old.Resolving-Mac.D4_1"	"Old.FAPs.D4_1"	"Old.FAPs.D4_2"	"Old.FAPs.D4_3"	"Old.MuSCs.D4_2"	"Old.MuSCs.D4_1"	"Old.ECs.D4_1"	"Old.ECs.D4_3"	"Old.ECs.D4_2"
"ENSMUSG00000025915"	47.68602	14.526178	49.02145	29.705835	77.730362	28.25968	4.814391	2.135694	7.237542	3.643287	2.381151	4.963673	6.507814	6.309506
"ENSMUSG00000025917"	19.407932	11.328006	22.647076	13.969205	22.355928	11.976263	32.754692	12.423245	21.669149	25.212271	9.997349	6.249462	20.068806	21.120186
"ENSMUSG00000025921"	2.926436	0.655158	3.013252	1.556091	1.965962	1.575022	6.981888	3.843701	10.043767	8.013084	1.851533	1.373074	2.868469	3.523051
"ENSMUSG00000025925"	4.14329	2.485203	3.967212	6.60766	9.272519	6.634214	8.216515	4.123532	6.431591	7.161631	5.884738	8.127357	19.050699	6.726887
"ENSMUSG00000025929"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025930"	0	0	0	0	0	0	2.565688	1.487081	5.497692	1.233462	3.365113	0	0.14906	0.147569
"ENSMUSG00000025931"	0	0	0	0.424998	0	0.368042	3.425169	1.441008	3.460903	1.610954	2.39845	1.568519	5.20542	1.867761
"ENSMUSG00000025934"	1.045612	0	0	0	0	0.186259	0.075144	0.143137	0.165674	0.225767	0.115527	0.064732	0.098617	0
"ENSMUSG00000025935"	89.530807	37.346657	78.46595	50.678585	65.912422	49.866718	85.002563	44.886005	98.534149	29.995878	16.009048	10.971213	30.599703	39.949505
"ENSMUSG00000025937"	6.29528	3.231165	5.863213	5.958781	7.831543	6.109423	4.142689	1.276839	4.139157	4.233841	3.60842	1.363176	2.577193	3.907885
"ENSMUSG00000025938"	0	0	0	0.124479	0.329189	0	4.493845	2.605271	5.653559	0.892803	1.273719	0.24996	0.769984	0.925525
"ENSMUSG00000025949"	21.718666	9.366206	22.028847	18.68136	19.143917	25.230566	9.737371	3.79731	8.436415	7.180152	7.061184	4.428123	11.027431	6.641751
"ENSMUSG00000025956"	2.059894	1.249845	1.595688	3.613264	1.837816	2.025537	7.874979	3.320093	6.20784	4.8085	2.590353	0.623198	3.006844	1.335082
"ENSMUSG00000025958"	30.986439	8.575591	37.494759	30.337072	51.98634	22.847717	13.450132	6.899839	16.986456	20.522263	16.833664	11.677851	29.957546	21.100639
"ENSMUSG00000025961"	0	0	0	0.152253	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025963"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025969"	15.585753	12.858493	13.628061	19.982855	7.989376	23.540442	19.546816	7.130717	18.120247	12.594616	6.785659	19.988466	73.14856	39.257896
"ENSMUSG00000025971"	1.150903	0.941407	1.363373	2.553277	2.792066	2.170329	2.931944	0.97853	2.923372	1.966253	2.123351	1.500407	1.805173	2.123056
"ENSMUSG00000025977"	0	0	0.300471	0	0	0	1.514153	0.05377	0	0.285202	0	0	0	0.515079
"ENSMUSG00000025978"	0	0.182338	0.541435	0.646995	1.055168	1.323059	8.067607	3.652099	13.308154	7.507737	11.324595	0.571142	5.693521	1.748403
