"gene"	"Young.Resolving-Mac.D2_2"	"Young.Resolving-Mac.D2_3"	"Young.Inflammatory-Mac.D2_3"	"Young.Resolving-Mac.D2_1"	"Young.Inflammatory-Mac.D2_1"	"Young.Inflammatory-Mac.D2_2"	"Young.FAPs.D2_1"	"Young.FAPs.D2_2"	"Young.FAPs.D2_3"	"Young.MuSCs.D2_1"	"Young.MuSCs.D2_2"	"Young.MuSCs.D2_3"	"Young.ECs.D2_1"	"Young.Neutrophils.D2_1"	"Young.ECs.D2_2"	"Young.Neutrophils.D2_2"	"Young.Neutrophils.D2_3"	"Young.ECs.D2_3"
"ENSMUSG00000012187"	0	0	0	0	0	0	0	0.154766	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000013275"	2.327814	3.192852	3.493361	2.57898	3.718107	0.691846	4.001313	5.79262	4.427286	2.491716	16.442762	16.536469	7.857666	2.916827	2.773926	4.029637	5.867484	0.780516
"ENSMUSG00000013465"	7.42181	11.014003	11.272907	9.632903	8.391579	3.757251	9.469735	12.452635	10.100682	4.495732	8.491487	8.374508	17.86569	5.362669	6.764126	6.180859	11.326758	3.001276
"ENSMUSG00000013698"	34.2169	46.304241	49.786274	46.091076	19.667765	22.000275	31.890764	34.931633	39.118275	11.410779	20.903633	23.776762	50.024376	7.145006	32.158752	8.232368	8.428944	11.945904
"ENSMUSG00000013973"	3.298716	7.42986	10.276673	3.699532	8.912442	2.528067	5.375309	6.742246	5.248268	1.980891	5.677601	7.799325	7.589177	4.333178	3.053967	8.369186	6.206067	1.266332
"ENSMUSG00000013997"	7.335841	9.634772	4.085958	5.320939	6.057468	4.531028	6.130835	6.438654	6.537785	2.925658	5.422896	10.000199	5.198555	4.953564	4.690876	6.987547	7.835788	1.385876
"ENSMUSG00000014602"	2.387078	2.540563	0.816286	1.312063	1.976032	0.681224	0.045059	0	0	0.401206	0.504226	0.966825	0	0.346676	0.079416	0.523077	0.333171	0
"ENSMUSG00000014852"	0.189561	0.116313	0	0.182756	0	0	0	0	0	0	0	0	0	0.363973	0	0.17592	0.541428	0
"ENSMUSG00000014867"	30.563961	41.464767	33.552849	25.51573	65.888924	16.378674	91.69249	116.101135	115.541504	12.042572	20.49342	33.173351	24.7052	28.165131	5.984234	41.542278	44.360855	2.870309
"ENSMUSG00000014873"	14.027187	10.549832	11.260103	14.078526	12.363194	4.810579	13.772153	16.116884	17.996309	7.016563	13.324254	14.587372	10.3791	7.551624	4.944499	12.797571	6.019728	1.60454
"ENSMUSG00000014980"	1.936911	3.321322	5.979365	4.347632	1.987483	1.002024	14.623572	18.464928	18.461514	6.461577	9.119284	7.764162	8.484171	0.815021	5.017726	1.365079	3.074046	2.229144
"ENSMUSG00000015085"	0	0	0	0	0	0	5.921869	8.035379	5.518411	0.790914	3.087882	4.412988	0.372351	0	0.064731	0	0	0
"ENSMUSG00000015087"	11.200284	15.30825	16.549309	11.034461	13.880668	4.945282	14.037003	19.710426	19.01388	4.800471	17.246347	17.587305	9.268637	5.738481	6.920167	6.45414	7.142841	2.25898
"ENSMUSG00000015090"	0	0	0	0.099157	0	0	0	0	0	0.325455	0.927981	1.642764	0	0	0	0	0	0
