"gene"	"Old.Inflammatory-Mac.D2_1"	"Old.Resolving-Mac.D2_3"	"Old.Inflammatory-Mac.D2_2"	"Old.Resolving-Mac.D2_2"	"Old.Inflammatory-Mac.D2_3"	"Old.Resolving-Mac.D2_1"	"Old.FAPs.D2_1"	"Old.FAPs.D2_2"	"Old.FAPs.D2_3"	"Old.MuSCs.D2_1"	"Old.MuSCs.D2_2"	"Old.ECs.D2_2"	"Old.Neutrophils.D2_2"	"Old.Neutrophils.D2_1"	"Old.Neutrophils.D2_3"	"Old.ECs.D2_1"
"ENSMUSG00000025817"	9.574478	9.470908	5.505289	7.114171	6.870289	5.996157	7.040239	14.543054	17.319967	17.330107	12.091995	9.440202	7.211409	4.738282	4.585157	8.081903
"ENSMUSG00000025900"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025902"	0	0	0	0	0.199879	0	0	0	0.148528	0	0.050101	47.794834	43.631294	33.341133	26.699083	40.522873
"ENSMUSG00000025903"	35.625999	27.809521	31.822334	31.046461	37.177773	23.682789	17.331163	34.962307	38.437222	20.78458	23.610294	30.610363	31.13553	19.974302	15.654925	33.668381
"ENSMUSG00000025905"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000419	0	0
"ENSMUSG00000025909"	0	0	0.003151	0	0	0	0	0.031246	0.030026	0	0	0	0	0	0	0
"ENSMUSG00000025911"	0.286685	1.111637	0.83795	0.312127	0.201948	0.344822	0.279317	1.060063	1.029438	0.457241	0.657404	1.959668	2.134857	1.453982	1.163113	2.739554
"ENSMUSG00000025912"	1.122093	1.624706	0.688785	1.561821	0.222319	0.88988	1.428865	4.313681	5.337862	5.828959	3.345238	2.722493	4.255102	1.67408	1.316276	2.45682
"ENSMUSG00000025915"	29.545395	38.968884	40.182747	46.975548	45.176701	40.174843	2.010446	4.242857	5.122174	2.608426	3.175719	9.41997	6.679099	7.409476	4.145849	7.153584
"ENSMUSG00000025917"	24.999081	23.373354	16.395885	18.468834	20.193203	14.446122	14.26089	33.279686	32.915493	26.166887	23.800497	15.479612	21.904596	9.718699	9.019466	17.970015
"ENSMUSG00000025921"	1.865904	1.393646	1.322712	2.094275	1.867752	1.263354	7.387797	12.698332	22.436758	6.608959	4.498896	2.903498	3.895246	2.255242	1.25931	2.529041
"ENSMUSG00000025925"	3.66553	7.599179	9.298804	7.950338	4.432157	5.268813	4.71717	13.103875	11.395864	7.088072	8.915136	11.011667	9.332001	8.646146	4.631275	10.722775
"ENSMUSG00000025929"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025930"	0	0	0.196798	0.050133	0	0	0.410535	1.354197	0.590005	2.550487	40.232338	0	0	0.048264	0	0.196633
"ENSMUSG00000025931"	0	0.452123	0	0.184585	0.333942	0.4526	0.751837	2.02324	2.948643	1.592979	0	3.920002	3.672956	1.922595	1.422266	4.062802
"ENSMUSG00000025934"	0.077415	0	0	0	0.123366	0	0.468405	0.036614	1.00389	0.03141	0	0	0.152719	0.004781	0.191296	0
"ENSMUSG00000025935"	86.041847	75.400703	65.06636	55.517868	83.688286	46.727528	42.925262	86.787361	85.227272	26.392527	21.475046	30.655075	41.878025	18.91433	16.549469	32.869049
"ENSMUSG00000025937"	7.200789	5.35817	5.040687	6.28665	5.672984	5.275539	2.099965	4.277944	4.17815	4.368789	4.150156	2.723817	3.373414	2.009185	1.290202	3.20205
"ENSMUSG00000025938"	0	0.028563	0	0	0	0	0.819491	1.853164	1.969515	1.061983	1.416199	0.956541	0.644699	0.518576	0.173825	1.326171
"ENSMUSG00000025949"	19.887989	24.411415	26.117117	18.345095	15.159131	18.119141	4.032251	7.152009	8.741771	6.168981	11.680335	11.985496	9.090137	6.160688	6.783822	8.713466
"ENSMUSG00000025956"	1.503999	3.445795	3.627388	2.644752	1.989568	2.348219	2.898268	5.356581	6.271789	2.356599	5.465853	3.348574	1.570639	2.510994	1.042549	4.711524
"ENSMUSG00000025958"	18.197353	23.457546	27.34663	31.027485	30.258568	29.662683	6.913124	14.743025	17.583328	15.362248	27.37154	31.071384	18.586493	13.876592	10.288124	33.523319
"ENSMUSG00000025961"	0.261575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025963"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025969"	37.898727	22.772682	19.514273	10.28714	16.320267	9.9182	8.411674	17.63196	21.228388	8.460014	2.457029	64.102882	34.312115	39.681873	26.254866	64.29982
"ENSMUSG00000025971"	2.049356	2.750944	2.218648	2.25701	1.301831	1.676488	0.9506	1.586577	1.738486	3.401474	2.71231	2.740845	0.945429	0.834588	0.849294	1.82381
"ENSMUSG00000025977"	0	0.161172	0	0.564917	0.125691	0	0.36064	0	0.53147	0.208678	0.651158	0.594105	0.320107	0	0.468974	1.298949
"ENSMUSG00000025978"	0.632146	0.681452	1.225366	0.88695	0.466888	0.795379	3.50375	7.167013	7.551168	6.895096	5.262077	4.12298	5.281476	1.703244	1.105128	4.101106
"ENSMUSG00000025979"	16.443634	15.010795	12.968918	17.115732	16.21921	15.107859	6.22046	13.074264	11.608137	15.516569	21.79598	18.481041	18.858112	13.485234	8.269584	15.771331
"ENSMUSG00000025981"	34.408936	43.380596	48.57291	54.401165	48.498821	56.032459	11.564345	26.494747	29.926092	20.286875	38.3876	24.354862	20.93833	15.91673	8.896334	14.621634
"ENSMUSG00000025982"	76.429054	81.933739	96.885559	113.754898	101.808952	104.830711	33.509472	73.669495	69.685593	64.388695	88.314896	86.650352	71.999443	49.433983	41.861351	73.102829
"ENSMUSG00000025983"	0	0.165829	0.251771	0.128825	0.029969	0.291317	0.329366	0.310973	0.271658	0.382063	0.489561	0.419129	0.201073	0.237886	0.200106	0.408871
"ENSMUSG00000025995"	9.783097	4.94643	3.917593	5.052113	7.24947	3.01354	11.505042	20.202663	26.268772	20.476234	16.201859	6.485151	10.391267	4.164475	4.89285	5.013673
"ENSMUSG00000025997"	0.78483	1.992691	1.608442	1.180418	0.282765	1.253073	0.414008	1.37823	0.763119	0.869098	2.142354	0.120331	0	0	0	0.151085
