"gene"	"Young.Resolving-Mac.D7_2"	"Young.Resolving-Mac.D7_1"	"Young.Resolving-Mac.D7_3"	"Young.FAPs.D7_1"	"Young.FAPs.D7_2"	"Young.FAPs.D7_3"	"Young.MuSCs.D7_3"	"Young.MuSCs.D7_1"	"Young.MuSCs.D7_2"	"Young.ECs.D7_2"	"Young.ECs.D7_1"	"Young.ECs.D7_3"
"ENSMUSG00000026072"	0.48125	0.402877	0	31.991959	23.620493	23.306532	8.700562	10.38912	11.328831	0.857177	6.203046	12.341866
"ENSMUSG00000026074"	35.144054	36.261627	17.594219	66.479691	64.627106	61.832397	100.054504	126.246834	86.802284	46.396519	17.614456	68.037239
"ENSMUSG00000026078"	4.878292	8.937067	1.6894	3.797023	3.651519	3.675374	7.201958	4.976466	3.616199	4.531502	2.792987	8.9411
"ENSMUSG00000026080"	0	0	0	0	0.689239	0.44758	0	0	0.176805	0	0	0
"ENSMUSG00000026082"	10.382272	12.830052	5.062566	14.177194	10.588584	13.369743	13.101943	15.97186	7.323078	11.573866	4.048983	10.371463
"ENSMUSG00000026083"	24.188665	19.733604	8.116905	17.636072	15.84435	16.960062	15.340175	19.838499	14.872488	16.624208	6.727609	15.120581
"ENSMUSG00000026085"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000026087"	21.349812	18.685144	5.617449	16.278618	20.497669	24.297983	17.228237	16.29682	12.636818	10.204585	5.276215	16.192228
"ENSMUSG00000026088"	14.3877	7.23698	2.564553	8.008844	9.999712	9.571706	5.357316	6.577379	5.227076	8.456788	6.019223	16.609013
"ENSMUSG00000026090"	0	0	0	0	0	0	0	0.059745	0.079244	0	0	0
"ENSMUSG00000026094"	83.517883	91.149185	18.569178	14.36538	19.771486	18.333822	16.439871	18.285059	22.051661	333.981262	7.532609	5.760536
"ENSMUSG00000026095"	17.577147	12.246125	6.146098	10.370211	15.182947	11.034925	10.171958	9.592482	12.243958	16.272209	2.771568	9.250049
"ENSMUSG00000026096"	1.35313	1.218121	1.628243	2.395813	3.992997	3.488108	3.82493	4.244527	3.901652	0	3.122792	2.730282
"ENSMUSG00000026097"	6.936856	6.531262	2.761067	3.361163	0.275599	2.045779	2.026848	2.608414	2.260868	11.163958	0.835822	2.457666
"ENSMUSG00000026100"	0	0	0	0	0.710682	0.441784	0	0.175885	0	0	0	0
"ENSMUSG00000026107"	92.215744	67.856979	27.02109	31.789812	32.656662	31.624571	8.883392	11.387131	6.777164	364.475372	27.035191	30.640129
"ENSMUSG00000026109"	0	0	0	11.360565	7.368164	11.154699	8.630874	7.07332	2.09073	0	0.542236	0.62125
"ENSMUSG00000026110"	22.999746	12.245988	10.909992	5.082737	5.741356	6.633325	6.510166	9.403682	2.218624	33.581879	18.486263	32.988052
"ENSMUSG00000026111"	18.67911	12.11433	6.081571	19.170561	19.877005	21.567436	9.59216	14.975451	9.41724	15.998144	7.883249	16.619989
"ENSMUSG00000026113"	28.502205	18.263987	11.401658	10.740277	8.564098	8.891463	13.695856	14.157829	4.157022	33.511211	6.243665	11.526437
"ENSMUSG00000026116"	47.665073	36.489487	10.4331	28.179186	26.09412	27.887959	27.459768	28.884573	21.416685	28.593925	15.052663	29.54335
"ENSMUSG00000026117"	0.215859	0	0.087971	0	0	0	0.128156	0.421667	0	0	0	0
"ENSMUSG00000026121"	0.556547	0.173958	0.50541	7.186223	5.834283	8.064851	6.205515	7.446796	6.832508	0.74266	11.305687	13.6817
"ENSMUSG00000026123"	26.544355	20.522141	11.064029	2.080154	5.404277	2.628652	3.250009	2.95848	2.849728	13.426317	1.579005	3.694749
