"id"	"symbol"	"Tau"	"class"	"whichMAX"	"nbMAX"	"maxlog10TPM"
"82"	"ENSMUSG00000016529"	"Il10"	0.622982943305971	"intermediate"	"M2.D4"	1	1.36085770277033
"83"	"ENSMUSG00000016918"	"Sulf1"	0.598359004990576	"intermediate"	"FAPs.D7"	1	2.08599316353271
"84"	"ENSMUSG00000017418"	"Arl5b"	0.225691281548759	"housekeeping"	"M2.D2"	1	1.50308764052433
"85"	"ENSMUSG00000018196"	"Glrx2"	0.268383930491156	"housekeeping"	"FAPs.D0"	1	0.872483575370195
"86"	"ENSMUSG00000018199"	"Ro60"	0.319135035231445	"housekeeping"	"FAPs.D7"	1	1.11396177842594
"87"	"ENSMUSG00000018417"	"Myo1b"	0.502390985667731	"intermediate"	"sCs.D0"	1	1.95528932570295
"88"	"ENSMUSG00000019230"	"Lhx9"	0.808623567564955	"specific"	"FAPs.D0"	1	0.137840686316645
"89"	"ENSMUSG00000019699"	"Akt3"	0.22937618826085	"housekeeping"	"ECs.D7"	1	1.39090257680389
"90"	"ENSMUSG00000022995"	"Enah"	0.445296807926141	"housekeeping"	"ECs.D7"	1	1.42739312838716
"91"	"ENSMUSG00000023094"	"Msrb2"	0.559764170858906	"intermediate"	"FAPs.D0"	1	0.653575512004378
"92"	"ENSMUSG00000023150"	"Ivns1abp"	0.236657029219526	"housekeeping"	"M2.D2"	1	1.9406255223734
"93"	"ENSMUSG00000023206"	"Il15ra"	0.352172408550355	"housekeeping"	"sCs.D0"	1	1.12975398116652
"94"	"ENSMUSG00000025776"	"Crispld1"	0.794185770158341	"intermediate"	"FAPs.D0"	1	0.920794886974927
"95"	"ENSMUSG00000025779"	"Ly96"	0.385226484634695	"housekeeping"	"M2.D4"	1	1.42951581034531
"96"	"ENSMUSG00000025780"	"Itih5"	0.706945829303493	"intermediate"	"FAPs.D0"	1	2.10972105041982
"97"	"ENSMUSG00000025781"	"Atp5c1"	0.144125304227708	"housekeeping"	"M2.D2"	1	2.01841436379876
"98"	"ENSMUSG00000025782"	"Taf3"	0.165041745421515	"housekeeping"	"ECs.D7"	1	0.813255935063001
"99"	"ENSMUSG00000025815"	"Dhtkd1"	0.751405525614555	"intermediate"	"FAPs.D7"	1	0.586095526457466
"100"	"ENSMUSG00000025816"	"Sec61a2"	0.220717755023219	"housekeeping"	"FAPs.D0"	1	1.15802778472832
"101"	"ENSMUSG00000025817"	"Nudt5"	0.243101447842932	"housekeeping"	"FAPs.D2"	1	1.1174049111171
"102"	"ENSMUSG00000025902"	"Sox17"	0.834679155241027	"specific"	"ECs.D7"	1	1.7067688962046
"103"	"ENSMUSG00000025903"	"Lypla1"	0.177994831013405	"housekeeping"	"ECs.D0"	1	1.58656445383343
"104"	"ENSMUSG00000025911"	"Adhfe1"	0.636289852469692	"intermediate"	"FAPs.D7"	1	0.712675462102357
"105"	"ENSMUSG00000025912"	"Mybl1"	0.396597342911057	"housekeeping"	"FAPs.D2"	1	0.623695490414633
"106"	"ENSMUSG00000025915"	"Sgk3"	0.440829874728648	"housekeeping"	"M2.D2"	1	1.63242536845728
"107"	"ENSMUSG00000025917"	"Cops5"	0.192339857853849	"housekeeping"	"FAPs.D2"	1	1.4149432801309
"108"	"ENSMUSG00000025921"	"Rdh10"	0.497932875833902	"housekeeping"	"FAPs.D2"	1	1.14037126690239
"109"	"ENSMUSG00000025925"	"Terf1"	0.264415520148851	"housekeeping"	"ECs.D7"	1	1.1437629993892
"110"	"ENSMUSG00000025930"	"Msc"	0.774860701564616	"intermediate"	"FAPs.D7"	1	0.992433525644611
"111"	"ENSMUSG00000025931"	"Paqr8"	0.538976544162015	"intermediate"	"FAPs.D7"	1	0.653071873064444
"112"	"ENSMUSG00000025934"	"Gsta3"	0.959725532362823	"specific"	"FAPs.D0"	1	0.995271951966906
"113"	"ENSMUSG00000025935"	"Tram1"	0.210778851256095	"housekeeping"	"M1.D2"	1	1.89579960441872
"114"	"ENSMUSG00000025937"	"Lactb2"	0.233457102633941	"housekeeping"	"M2.D4"	1	0.850445544969819
"115"	"ENSMUSG00000025938"	"Slco5a1"	0.721536456156809	"intermediate"	"FAPs.D7"	1	0.793740058707154
"116"	"ENSMUSG00000025949"	"Pikfyve"	0.28565932370772	"housekeeping"	"M2.D4"	1	1.37911509581224
"117"	"ENSMUSG00000025956"	"Mettl21a"	0.349229794124125	"housekeeping"	"FAPs.D7"	1	0.86029506286422
"118"	"ENSMUSG00000025958"	"Creb1"	0.178613922423072	"housekeeping"	"M2.D4"	1	1.48898168021423
"119"	"ENSMUSG00000025969"	"Nrp2"	0.299259985726569	"housekeeping"	"ECs.D4"	1	1.59741912443868
"120"	"ENSMUSG00000025971"	"Maip1"	0.160165765371791	"housekeeping"	"M2.D2"	1	0.50289481602557
"121"	"ENSMUSG00000025978"	"Rftn2"	0.5038219829595	"intermediate"	"sCs.D0"	1	1.08248865913658
"122"	"ENSMUSG00000025979"	"Mob4"	0.13786107784341	"housekeeping"	"M2.D4"	1	1.29211374944861
"123"	"ENSMUSG00000025981"	"Coq10b"	0.212342381816288	"housekeeping"	"M2.D4"	1	1.7430584142287
"124"	"ENSMUSG00000025982"	"Sf3b1"	0.153847318320955	"housekeeping"	"M2.D4"	1	2.05062124704515
"125"	"ENSMUSG00000025983"	"Ccdc150"	0.722606394922211	"intermediate"	"FAPs.D7"	1	0.208374341470866
"126"	"ENSMUSG00000025995"	"Wdr75"	0.33308028270351	"housekeeping"	"FAPs.D2"	1	1.28504635712387
"127"	"ENSMUSG00000025997"	"Ikzf2"	0.631706866887187	"intermediate"	"FAPs.D7"	1	0.644141204531864
