Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
FAPs,Thbs1,Ptprj,FAPs,3,1.0,52.73412466666667,158.202374,0.5986009007423507,0.5986009007423507,3,1.0,9.112038,27.336114,0.5375072133340244,0.5375072133340244,480.515347859404,0.3217523020572579,4324.638130734636,0.3217523020572579
FAPs,Thbs1,Ptprj,MuSCs,3,1.0,52.73412466666667,158.202374,0.5986009007423507,0.5986009007423507,3,1.0,7.396838666666667,22.190516,0.4363298462101849,0.4363298462101849,390.0658123872205,0.261187438962188,3510.592311484984,0.261187438962188
MuSCs,Thbs1,Ptprj,ECs,3,1.0,32.63402300000001,97.90206900000001,0.3704386047199253,0.3704386047199253,3,1.0,0.4435246666666666,1.330574,0.02616294045579069,0.02616294045579069,14.47399417306733,0.009691763157813588,130.265947557606,0.009691763157813588
MuSCs,Thbs1,Ptprj,FAPs,3,1.0,32.63402300000001,97.90206900000001,0.3704386047199253,0.3704386047199253,3,1.0,9.112038,27.336114,0.5375072133340244,0.5375072133340244,297.3624576688741,0.1991134221343512,2676.262119019867,0.1991134221343512
MuSCs,Thbs1,Ptprj,MuSCs,3,1.0,32.63402300000001,97.90206900000001,0.3704386047199253,0.3704386047199253,3,1.0,7.396838666666667,22.190516,0.4363298462101849,0.4363298462101849,241.3886031752894,0.1616334194277605,2172.497428577604,0.1616334194277605
ECs,Thbs1,Sdc1,ECs,3,1.0,2.727484333333333,8.182453,0.03096049453772388,0.03096049453772388,3,1.0,0.2799683333333333,0.839905,0.0294305463214559,0.0294305463214559,0.7636092429961111,0.000911184268627665,6.872483186965001,0.0009111842686276652
ECs,Thbs1,Sdc1,FAPs,3,1.0,2.727484333333333,8.182453,0.03096049453772388,0.03096049453772388,3,1.0,2.365790333333333,7.097371,0.2486942046732164,0.2486942046732163,6.452656070118111,0.0076996955653487,58.073904631063,0.0076996955653487
ECs,Thbs1,Sdc1,MuSCs,3,1.0,2.727484333333333,8.182453,0.03096049453772388,0.03096049453772388,3,1.0,6.86709,20.60127,0.7218752490053277,0.7218752490053277,18.72988039059,0.02234961470374752,168.56892351531,0.02234961470374752
FAPs,Thbs1,Sdc1,ECs,3,1.0,52.73412466666667,158.202374,0.5986009007423507,0.5986009007423507,3,1.0,0.2799683333333333,0.839905,0.0294305463214559,0.0294305463214559,14.76388499271889,0.01761715153736298,132.87496493447,0.01761715153736298
FAPs,Thbs1,Sdc1,FAPs,3,1.0,52.73412466666667,158.202374,0.5986009007423507,0.5986009007423507,3,1.0,2.365790333333333,7.097371,0.2486942046732164,0.2486942046732163,124.7578823731949,0.1488685749267898,1122.820941358754,0.1488685749267898
FAPs,Thbs1,Sdc1,MuSCs,3,1.0,52.73412466666667,158.202374,0.5986009007423507,0.5986009007423507,3,1.0,6.86709,20.60127,0.7218752490053277,0.7218752490053277,362.12998015722,0.4321151742781979,3259.16982141498,0.4321151742781979
