"symbol"	"whichMAX"
"605"	"Arap1"	"M2"
"606"	"Arap2"	"sCs"
"607"	"Arap3"	"ECs"
"608"	"Arc"	"FAPs"
"609"	"Areg"	"M2"
"610"	"Arfgap3"	"FAPs"
"611"	"Arfgef3"	"FAPs"
"612"	"Arfip2"	"FAPs"
"613"	"Arg2"	"M2"
"614"	"Arhgap11a"	"sCs"
"615"	"Arhgap15"	"M2"
"616"	"Arhgap18"	"ECs"
"617"	"Arhgap19"	"M2"
"618"	"Arhgap20"	"FAPs"
"619"	"Arhgap21"	"FAPs"
"620"	"Arhgap22"	"sCs"
"621"	"Arhgap24"	"FAPs"
"622"	"Arhgap25"	"M2"
"623"	"Arhgap26"	"FAPs"
"624"	"Arhgap27"	"ECs"
"625"	"Arhgap28"	"sCs"
"626"	"Arhgap29"	"sCs"
"627"	"Arhgap30"	"M2"
"628"	"Arhgap31"	"ECs"
"629"	"Arhgap32"	"FAPs"
"630"	"Arhgap33"	"sCs"
"631"	"Arhgap35"	"sCs"
"632"	"Arhgap39"	"sCs"
"633"	"Arhgap4"	"M2"
"634"	"Arhgap40"	"FAPs"
"635"	"Arhgap42"	"sCs"
"636"	"Arhgap44"	"FAPs"
"637"	"Arhgap45"	"M2"
"638"	"Arhgap6"	"FAPs"
"639"	"Arhgap8"	"ECs"
"640"	"Arhgap9"	"M2"
"641"	"Arhgdib"	"M2"
"642"	"Arhgdig"	"sCs"
"643"	"Arhgef10"	"FAPs"
"644"	"Arhgef10l"	"M2"
"645"	"Arhgef12"	"FAPs"
"646"	"Arhgef15"	"ECs"
"647"	"Arhgef16"	"sCs"
"648"	"Arhgef17"	"sCs"
"649"	"Arhgef19"	"sCs"
"650"	"Arhgef25"	"FAPs"
"651"	"Arhgef26"	"FAPs"
"652"	"Arhgef28"	"FAPs"
"653"	"Arhgef3"	"ECs"
"654"	"Arhgef33"	"ECs"
"655"	"Arhgef37"	"M2"
"656"	"Arhgef39"	"sCs"
"657"	"Arhgef4"	"sCs"
"658"	"Arhgef40"	"FAPs"
"659"	"Arhgef5"	"sCs"
"660"	"Arhgef6"	"M2"
"661"	"Arhgef9"	"sCs"
"662"	"Arid3a"	"M2"
"663"	"Arid3b"	"ECs"
"664"	"Arl11"	"M2"
"665"	"Arl13b"	"FAPs"
"666"	"Arl15"	"FAPs"
"667"	"Arl16"	"FAPs"
"668"	"Arl4a"	"FAPs"
"669"	"Arl4c"	"M2"
"670"	"Arl4d"	"ECs"
"671"	"Arl5c"	"M2"
"672"	"Arl6"	"sCs"
"673"	"Arl9"	"FAPs"
"674"	"Armc2"	"FAPs"
"675"	"Armc6"	"FAPs"
"676"	"Armc7"	"M2"
"677"	"Armc9"	"FAPs"
"678"	"Armcx1"	"FAPs"
"679"	"Armcx2"	"sCs"
"680"	"Armcx3"	"FAPs"
"681"	"Armcx4"	"FAPs"
"682"	"Armcx6"	"FAPs"
"683"	"Armh1"	"FAPs"
"684"	"Armh4"	"FAPs"
"685"	"Arnt2"	"sCs"
"686"	"Arntl"	"FAPs"
"687"	"Arntl2"	"FAPs"
"688"	"Arpin"	"FAPs"
"689"	"Arpp21"	"sCs"
"690"	"Arrb1"	"ECs"
"691"	"Arrb2"	"M2"
"692"	"Arrdc1"	"M2"
"693"	"Arrdc3"	"FAPs"
"694"	"Arrdc4"	"ECs"
"695"	"Arsa"	"FAPs"
"696"	"Arsb"	"FAPs"
"697"	"Arsg"	"FAPs"
"698"	"Arsi"	"FAPs"
"699"	"Arsj"	"FAPs"
"700"	"Arsk"	"FAPs"
"701"	"Art1"	"sCs"
"702"	"Art2b"	"M2"
"703"	"Art3"	"sCs"
"704"	"Art4"	"FAPs"
"705"	"Art5"	"sCs"
"706"	"Artn"	"FAPs"
"707"	"Arv1"	"sCs"
"708"	"Arvcf"	"FAPs"
"709"	"Arxes1"	"sCs"
"710"	"Arxes2"	"FAPs"
"711"	"Asah1"	"M2"
"712"	"Asah2"	"FAPs"
"713"	"Asap2"	"ECs"
"714"	"Asap3"	"FAPs"
"715"	"Asb1"	"FAPs"
"716"	"Asb10"	"sCs"
"717"	"Asb13"	"M2"
"718"	"Asb14"	"FAPs"
"719"	"Asb15"	"sCs"
"720"	"Asb16"	"FAPs"
"721"	"Asb2"	"sCs"
"722"	"Asb3"	"FAPs"
"723"	"Asb4"	"sCs"
"724"	"Asb5"	"sCs"
"725"	"Asf1b"	"sCs"
"726"	"Asgr1"	"FAPs"
"727"	"Asgr2"	"M2"
"728"	"Asic1"	"ECs"
"729"	"Asic3"	"sCs"
"730"	"Asic4"	"FAPs"
"731"	"Asl"	"M2"
"732"	"Asns"	"ECs"
