Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
ECs,F13a1,Itga4,ECs,0.6666666666666666,0.8675826666666667,0.002935658305514945,0.6666666666666666,0.3680823333333333,0.002753916244137746,0.3193418523062223,8.084557094795497e-06
ECs,F13a1,Itga4,Inflammatory-Mac,0.6666666666666666,0.8675826666666667,0.002935658305514945,1.0,67.415553,0.5043892893009332,58.488565246548006,0.001480714606349065
ECs,F13a1,Itga4,MuSCs,0.6666666666666666,0.8675826666666667,0.002935658305514945,1.0,3.084311,0.0230761799621083,2.675894762209333,6.774377936532079e-05
ECs,F13a1,Itga4,Resolving-Mac,0.6666666666666666,0.8675826666666667,0.002935658305514945,1.0,62.78983433333334,0.4697806144928209,54.47537191047157,0.001379115362705764
FAPs,F13a1,Itga4,ECs,1.0,0.4105396666666667,0.001389151983434436,0.6666666666666666,0.3680823333333333,0.002753916244137746,0.1511123984325556,3.825608212756263e-06
FAPs,F13a1,Itga4,Inflammatory-Mac,1.0,0.4105396666666667,0.001389151983434436,1.0,67.415553,0.5043892893009332,27.676758656769014,0.0007006733816554768
FAPs,F13a1,Itga4,MuSCs,1.0,0.4105396666666667,0.001389151983434436,1.0,3.084311,0.0230761799621083,1.266232009836334,3.205632116445274e-05
FAPs,F13a1,Itga4,Resolving-Mac,1.0,0.4105396666666667,0.001389151983434436,1.0,62.78983433333334,0.4697806144928209,25.777717657261896,0.0006525966724017502
Inflammatory-Mac,F13a1,Itga4,ECs,1.0,72.13387333333333,0.2440809533154531,0.6666666666666666,0.3680823333333333,0.002753916244137746,26.551204408904443,0.0006721785022200533
Inflammatory-Mac,F13a1,Itga4,Inflammatory-Mac,1.0,72.13387333333333,0.2440809533154531,1.0,67.415553,0.5043892893009332,4862.944960798621,0.1231118185746756
Inflammatory-Mac,F13a1,Itga4,MuSCs,1.0,72.13387333333333,0.2440809533154531,1.0,3.084311,0.0230761799621083,222.4832989946067,0.0056324560040303525
Inflammatory-Mac,F13a1,Itga4,Resolving-Mac,1.0,72.13387333333333,0.2440809533154531,1.0,62.78983433333334,0.4697806144928209,4529.273956421651,0.1146645002345271
MuSCs,F13a1,Itga4,ECs,1.0,2.0947134999999997,0.0070879275488244875,0.6666666666666666,0.3680823333333333,0.002753916244137746,0.7710270327448334,1.951955881397919e-05
MuSCs,F13a1,Itga4,Inflammatory-Mac,1.0,2.0947134999999997,0.0070879275488244875,1.0,67.415553,0.5043892893009332,141.2162689790655,0.003575074738968089
MuSCs,F13a1,Itga4,MuSCs,1.0,2.0947134999999997,0.0070879275488244875,1.0,3.084311,0.0230761799621083,6.4607478898985,0.0001635622916750591
MuSCs,F13a1,Itga4,Resolving-Mac,1.0,2.0947134999999997,0.0070879275488244875,1.0,62.78983433333334,0.4697806144928209,131.5267136407969,0.003329770959367361
Resolving-Mac,F13a1,Itga4,ECs,1.0,220.0258686666666,0.7445063088467732,0.6666666666666666,0.3680823333333333,0.002753916244137746,80.9876351325202,0.002050308017796162
Resolving-Mac,F13a1,Itga4,Inflammatory-Mac,1.0,220.0258686666666,0.7445063088467732,1.0,67.415553,0.5043892893009332,14833.1656104687,0.37552100799928495
Resolving-Mac,F13a1,Itga4,MuSCs,1.0,220.0258686666666,0.7445063088467732,1.0,3.084311,0.0230761799621083,678.6282070131552,0.017180361565873117
Resolving-Mac,F13a1,Itga4,Resolving-Mac,1.0,220.0258686666666,0.7445063088467732,1.0,62.78983433333334,0.4697806144928209,13815.387842627759,0.34975463126381895
ECs,Cfh,Itgam,FAPs,1.0,0.6718046666666666,0.006062562609515538,1.0,0.96363,0.004634280881909668,0.6473711309399999,2.809561799665824e-05
ECs,Cfh,Itgam,Inflammatory-Mac,1.0,0.6718046666666666,0.006062562609515538,1.0,71.625121,0.3444588990740914,48.11809053836465,0.002088303642041473
ECs,Cfh,Itgam,Resolving-Mac,1.0,0.6718046666666666,0.006062562609515538,1.0,135.0220616666667,0.6493469059886695,90.70845113062113,0.0039367062728515095
FAPs,Cfh,Itgam,FAPs,1.0,43.16235166666667,0.3895097374828606,1.0,0.96363,0.004634280881909668,41.592536936550005,0.0018050975297344738
FAPs,Cfh,Itgam,Inflammatory-Mac,1.0,43.16235166666667,0.3895097374828606,1.0,71.625121,0.3444588990740914,3091.5086607695507,0.1341700953519845
FAPs,Cfh,Itgam,Resolving-Mac,1.0,43.16235166666667,0.3895097374828606,1.0,135.0220616666667,0.6493469059886695,5827.869708415021,0.2529269428869544
Inflammatory-Mac,Cfh,Itgam,FAPs,1.0,21.686232,0.1957029264426257,1.0,0.96363,0.004634280881909668,20.89750374216,0.0009069423305468344
