Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
MuSCs,Serping1,Lrp1,ECs,3,1.0,6040.299841779327,18120.89952533798,0.2064920805569108,0.2064920805569108,3,1.0,868.9746325269476,2606.923897580843,0.01574733709784817,0.01574733709784817,5248867.335362771,0.003251700400565696,47239806.01826493,0.003251700400565695
MuSCs,Serping1,Lrp1,FAPs,3,1.0,6040.299841779327,18120.89952533798,0.2064920805569108,0.2064920805569108,3,1.0,41293.65428951551,123880.9628685465,0.7483130919576523,0.7483130919576523,249426053.4714507,0.1545207272663106,2244834481.243056,0.1545207272663106
MuSCs,Serping1,Lrp1,MuSCs,3,1.0,6040.299841779327,18120.89952533798,0.2064920805569108,0.2064920805569108,3,1.0,13019.69346855973,39059.0804056792,0.2359395709444996,0.2359395709444996,78642852.39815669,0.0487196528900346,707785671.5834101,0.04871965289003459
ECs,Serping1,Selp,ECs,3,1.0,261.1514610052193,783.454383015658,0.008927654244985211,0.008927654244985211,3,1.0,250.3195347673583,750.958604302075,0.9684621860659399,0.9684621860659399,65371.31222264242,0.008646095546539246,588341.8100037818,0.008646095546539246
ECs,Serping1,Selp,FAPs,3,1.0,261.1514610052193,783.454383015658,0.008927654244985211,0.008927654244985211,2,0.6666666666666666,8.151615029619654,24.45484508885896,0.03153781393406005,0.03153781393406004,2128.806174537277,0.0002815586984459649,19159.25557083549,0.0002815586984459649
FAPs,Serping1,Selp,ECs,3,1.0,22950.51722544467,68851.551676334,0.784580265198104,0.7845802651981039,3,1.0,250.3195347673583,750.958604302075,0.9684621860659399,0.9684621860659399,5744962.794543552,0.7598363187779507,51704665.15089197,0.7598363187779505
FAPs,Serping1,Selp,FAPs,3,1.0,22950.51722544467,68851.551676334,0.784580265198104,0.7845802651981039,2,0.6666666666666666,8.151615029619654,24.45484508885896,0.03153781393406005,0.03153781393406004,187083.7811524795,0.02474394642015329,1683754.030372315,0.02474394642015328
MuSCs,Serping1,Selp,ECs,3,1.0,6040.299841779327,18120.89952533798,0.2064920805569108,0.2064920805569108,3,1.0,250.3195347673583,750.958604302075,0.9684621860659399,0.9684621860659399,1512005.046249549,0.19997977174145,13608045.41624594,0.19997977174145
MuSCs,Serping1,Selp,FAPs,3,1.0,6040.299841779327,18120.89952533798,0.2064920805569108,0.2064920805569108,2,0.6666666666666666,8.151615029619654,24.45484508885896,0.03153781393406005,0.03153781393406004,49238.19897365758,0.006512308815460793,443143.7907629181,0.006512308815460791
ECs,Cd40lg,Cd40,ECs,3,1.0,1.37623246630869,4.128697398926071,0.2266967911125367,0.2266967911125367,3,1.0,85.44661306771307,256.3398392031392,0.9939897657690443,0.9939897657690444,117.5944030399031,0.2253342902985443,1058.349627359128,0.2253342902985443
ECs,Cd40lg,Cd40,FAPs,3,1.0,1.37623246630869,4.128697398926071,0.2266967911125367,0.2266967911125367,1,0.3333333333333333,0.5166594028072867,1.54997820842186,0.006010234230955624,0.006010234230955624,0.7110434441670472,0.001362500813992365,6.399390997503425,0.001362500813992365
FAPs,Cd40lg,Cd40,ECs,2,0.6666666666666666,2.586302433234763,7.75890729970429,0.4260228390291133,0.4260228390291133,3,1.0,85.44661306771307,256.3398392031392,0.9939897657690443,0.9939897657690444,220.9907832886957,0.4234623419788116,1988.917049598261,0.4234623419788116
FAPs,Cd40lg,Cd40,FAPs,2,0.6666666666666666,2.586302433234763,7.75890729970429,0.4260228390291133,0.4260228390291133,1,0.3333333333333333,0.5166594028072867,1.54997820842186,0.006010234230955624,0.006010234230955624,1.336237470634105,0.002560497050301674,12.02613723570695,0.002560497050301674
MuSCs,Cd40lg,Cd40,ECs,1,0.3333333333333333,2.108272100214656,6.324816300643969,0.34728036985835,0.3472803698583499,3,1.0,85.44661306771307,256.3398392031392,0.9939897657690443,0.9939897657690444,180.1447103884965,0.3451931334916883,1621.302393496469,0.3451931334916883
MuSCs,Cd40lg,Cd40,FAPs,1,0.3333333333333333,2.108272100214656,6.324816300643969,0.34728036985835,0.3472803698583499,1,0.3333333333333333,0.5166594028072867,1.54997820842186,0.006010234230955624,0.006010234230955624,1.089258604252169,0.002087236366661585,9.803327438269516,0.002087236366661584
ECs,Col1a2,Cd44,ECs,3,1.0,188.1173360450954,564.352008135286,0.002334332989231068,0.002334332989231068,3,1.0,1023.154144573869,3069.462433721606,0.2697751054856518,0.2697751054856518,192473.0320407345,0.0006297449284084482,1732257.28836661,0.0006297449284084482
ECs,Col1a2,Cd44,FAPs,3,1.0,188.1173360450954,564.352008135286,0.002334332989231068,0.002334332989231068,3,1.0,1565.559715616767,4696.6791468503,0.4127912100678667,0.4127912100678667,294508.9231213432,0.0009635921393260331,2650580.308092088,0.0009635921393260331
