Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
MuSCs,Gnai2,P2ry12,FAPs,3.0,1.0,1435.91865127104,0.2100772921821384,2.0,0.6666666666666666,0.5945703225664101,0.01094522512512935,853.7546156653467,0.00229934325661108
FAPs,Cdh1,Ptprm,MuSCs,1.0,0.3333333333333333,1.8217745239591296,0.021277984670052368,3.0,1.0,465.9715311785527,0.042082757173762066,848.8950643913147,0.0008954362620168457
FAPs,Edn2,Ednrb,ECs,1.0,0.3333333333333333,0.3488560931282167,1.0,3.0,1.0,2427.10391162794,0.3815831639095928,846.7099882267357,0.3815831639095928
MuSCs,Fgf5,Fgfr1,ECs,1.0,0.3333333333333333,3.980859637229934,1.0,3.0,1.0,211.9544655841503,0.03074916100367824,843.7609769745851,0.03074916100367824
ECs,Rspo1,Lrp6,MuSCs,1.0,0.3333333333333333,0.33487556977876,0.008719178176172791,3.0,1.0,2493.334323618637,0.2887101409565894,834.9567522707305,0.002517315160268464
MuSCs,Anxa1,Fpr2,MuSCs,3.0,1.0,1359.297753632887,0.2949583672836788,1.0,0.3333333333333333,0.6124399441892233,0.3839034344013466,832.488240371462,0.1132355302056181
ECs,Fgf15,Fgfr1,MuSCs,1.0,0.3333333333333333,0.33487556977876,1.0,3.0,1.0,2457.475026524124,0.3565166463695371,822.9483497243393,0.3565166463695371
ECs,Rspo1,Lrp6,ECs,1.0,0.3333333333333333,0.33487556977876,0.008719178176172791,3.0,1.0,2411.63069205763,0.2792494493994264,807.5962020987442,0.002434825704911746
ECs,Btc,Egfr,MuSCs,1.0,0.3333333333333333,0.3179133457816397,0.00912562237780696,3.0,1.0,2538.4838471892003,0.2095261491306739,807.0178930725672,0.001912056515242597
FAPs,Bsg,Sele,MuSCs,3.0,1.0,983.304465999366,0.3347095557712401,1.0,0.3333333333333333,0.8010988264356866,0.01723257392774212,787.7240537410617,0.005767907164149618
FAPs,Icosl,Cd28,ECs,3.0,1.0,401.9341037297277,0.6498586592916153,2.0,0.6666666666666666,1.912058278207933,0.4501133670690903,768.521430330512,0.2925100692527537
FAPs,Sema6d,Trem2,MuSCs,3.0,1.0,717.0906161757057,0.0960558175185021,1.0,0.3333333333333333,1.068131768580917,1.0,765.9472680885358,0.0960558175185021
MuSCs,Zp3,Mertk,ECs,1.0,0.3333333333333333,0.7911466134879167,0.2871645995417008,3.0,1.0,954.4182709089661,0.3621844626053824,755.0847828806213,0.1040065561643008
FAPs,Adm,Calcr,FAPs,3.0,1.0,535.8643819007203,0.4873192752938538,1.0,0.3333333333333333,1.39542437251286,0.004019783477818605,747.7582188658043,0.001958917971248769
ECs,Fgf23,Fgfr1,MuSCs,1.0,0.3333333333333333,0.302477189623886,0.3809989136558991,3.0,1.0,2457.475026524124,0.3565166463695371,743.3301395939015,0.13583245496703802
ECs,Wnt6,Fzd7,MuSCs,1.0,0.3333333333333333,0.6049543792477734,0.009794393020654166,3.0,1.0,1226.770982400067,0.6734263765624453,742.1404781370136,0.0065958026025276385
FAPs,Gnai2,P2ry12,FAPs,3.0,1.0,1247.9826684075301,0.1825819446228548,2.0,0.6666666666666666,0.5945703225664101,0.01094522512512935,742.0134577123542,0.001998400487681045
MuSCs,Sele,Cd44,ECs,1.0,0.3333333333333333,0.8010988264356866,0.01723257392774212,3.0,1.0,916.167652813797,0.28671792667843,733.9408314874704,0.00494088786789499
ECs,Cd44,Sele,MuSCs,3.0,1.0,916.167652813797,0.28671792667843,1.0,0.3333333333333333,0.8010988264356866,0.01723257392774212,733.9408314874704,0.00494088786789499
FAPs,Ccl5,Sdc4,FAPs,2.0,0.6666666666666666,1.3898701068191468,0.3503067187634246,3.0,1.0,525.9769843095597,0.2413545455010526,731.0396873667404,0.08454811889311142
FAPs,Ccl5,Sdc1,MuSCs,2.0,0.6666666666666666,1.3898701068191468,0.3503067187634246,3.0,1.0,525.0962899893949,0.7984222359119973,729.8156366578978,0.2796926736500887
FAPs,Cga,Lhcgr,MuSCs,1.0,0.3333333333333333,1.5615210205363972,1.0,3.0,1.0,458.62237172328173,0.9715415624504627,716.1484739341615,0.9715415624504627
MuSCs,Mmp9,Ephb2,FAPs,1.0,0.3333333333333333,2.4497597767568933,0.2640983799282879,3.0,1.0,291.23763651887333,0.6668136062752297,713.4622474216803,0.1761043931314274
ECs,Adm,Calcr,FAPs,3.0,1.0,507.16454286854866,0.4612194163918688,1.0,0.3333333333333333,1.39542437251286,0.004019783477818605,707.709763993116,0.001854002189661174
MuSCs,Cxcl1,Cxcr2,MuSCs,3.0,1.0,823.763458729284,0.2981568704350785,2.0,0.6666666666666666,0.8402858563850684,0.2006992869373921,692.1967833770624,0.059839871291804674
MuSCs,Bsg,Sele,MuSCs,3.0,1.0,855.2594622070578,0.291123985055366,1.0,0.3333333333333333,0.8010988264356866,0.01723257392774212,685.1473514720906,0.005016815594605486
ECs,Tdgf1,Acvr2a,MuSCs,2.0,0.6666666666666666,0.938303881187166,0.6207533081296494,3.0,1.0,717.4632674898967,0.1607393703577628,673.1985684949959,0.09977949589625812
ECs,Fgf17,Fgfr1,ECs,2.0,0.6666666666666666,3.12196703670348,0.213218992904233,3.0,1.0,211.9544655841503,0.03074916100367824,661.7148548358197,0.0065563051418543895
MuSCs,Anpep,Sele,MuSCs,3.0,1.0,817.3866677995205,0.17695869958451002,1.0,0.3333333333333333,0.8010988264356866,0.01723257392774212,654.8075003183724,0.0030494538727471768
MuSCs,Cxcl1,Cxcr2,FAPs,3.0,1.0,823.763458729284,0.2981568704350785,2.0,0.6666666666666666,0.7662212362836601,0.1830092159589398,631.1850557528558,0.0545654550910949
MuSCs,Plau,Lrp2,ECs,3.0,1.0,496.00229542448477,0.07275525380106124,1.0,0.3333333333333333,1.27165338312656,0.6263948191777434,630.7429970150856,0.045573514048946585
ECs,Vasp,Cxcr2,MuSCs,3.0,1.0,735.7372179924754,0.3573556543737542,2.0,0.6666666666666666,0.8402858563850684,0.2006992869373921,618.2295782951749,0.07172102501585763
FAPs,Lrpap1,Lrp2,ECs,3.0,1.0,484.0846581369944,0.3753302927235918,1.0,0.3333333333333333,1.27165338312656,0.6263948191777434,615.5878932395733,0.2351049508425238
ECs,Ahsg,Insr,MuSCs,1.0,0.3333333333333333,0.33487556977876,0.05311402527309563,3.0,1.0,1770.4425222285502,0.4209147430753705,592.8779483918307,0.022356476301523782
MuSCs,Inhbc,Acvr2a,ECs,1.0,0.3333333333333333,0.267032942145229,0.08693428342907435,3.0,1.0,2213.390724093364,0.4958846640207821,591.0482371716097,0.04310937793011398
FAPs,Wnt9a,Fzd10,FAPs,3.0,1.0,277.5153255493937,0.7848574527932433,1.0,0.3333333333333333,2.0931365587692903,1.0,580.8774735261973,0.7848574527932433
MuSCs,Lrpap1,Lrp2,ECs,3.0,1.0,453.121027119649,0.3513229450454989,1.0,0.3333333333333333,1.27165338312656,0.6263948191777434,576.2128871024835,0.2200668726347676
FAPs,Tnfsf13b,Tnfrsf17,MuSCs,3.0,1.0,195.01364409420657,0.880938919899533,2.0,0.6666666666666666,2.934686418150197,0.4963189398701185,572.3038926772447,0.4372266708148634
ECs,Vasp,Cxcr2,FAPs,3.0,1.0,735.7372179924754,0.3573556543737542,2.0,0.6666666666666666,0.7662212362836601,0.1830092159589398,563.7374807500952,0.06539937812543463
ECs,Il1rapl1,Ptprs,MuSCs,1.0,0.3333333333333333,0.302477189623886,0.004008466862350995,3.0,1.0,1839.550274830576,0.6240228993626619,556.4219973025998,0.0025013751134434197
MuSCs,Tnfsf11,Tnfrsf11a,MuSCs,1.0,0.3333333333333333,2.4497597767568933,0.4477696457286099,3.0,1.0,224.9215667845107,0.7317675057154099,551.0038072338334,0.3276632767898977
ECs,Ahsg,Insr,ECs,1.0,0.3333333333333333,0.33487556977876,0.05311402527309563,3.0,1.0,1637.3649517101032,0.3892761495030932,548.3135211396927,0.02067602324292065
FAPs,Cxcl1,Cxcr1,MuSCs,3.0,1.0,1761.427081110603,0.6375393086914345,1.0,0.3333333333333333,0.3062199720946117,1.0,539.3841516243823,0.6375393086914345
MuSCs,Nrtn,Ret,FAPs,1.0,0.3333333333333333,0.3955733067439567,0.05692607021921426,3.0,1.0,1310.35048795039,0.8528735417699845,518.339675512093,0.0485507391269081
FAPs,Ccl5,Ackr2,FAPs,2.0,0.6666666666666666,1.3898701068191468,0.3503067187634246,3.0,1.0,372.487885202603,1.0,517.7097767953798,0.3503067187634246
FAPs,Il1rn,Il1r1,FAPs,1.0,0.3333333333333333,0.3488560931282167,0.3482831642968496,3.0,1.0,1424.68175056987,0.4426348558721197,497.00890945487333,0.1541622682312218
MuSCs,Enam,Cd63,FAPs,1.0,0.3333333333333333,0.3955733067439567,1.0,3.0,1.0,1249.032367575123,0.5646810710139497,494.0838638719247,0.5646810710139497
MuSCs,Sost,Lrp4,ECs,3.0,1.0,3.6082719417899667,0.2306082427624917,3.0,1.0,135.5634620340726,0.1148954287602957,489.14983638945364,0.026495832927854842
ECs,Ccl4,Ackr2,FAPs,2.0,0.6666666666666666,1.307103898960163,1.0,3.0,1.0,372.487885202603,1.0,486.88036706374777,1.0
MuSCs,Gnai2,Oprd1,ECs,3.0,1.0,1435.91865127104,0.2100772921821384,1.0,0.3333333333333333,0.33487556977876,1.0,480.85407650033824,0.2100772921821384
FAPs,Calca,Calcrl,FAPs,1.0,0.3333333333333333,0.3488560931282167,0.2412187958767243,3.0,1.0,1372.9756627003571,0.2515182520263476,478.97092564977066,0.06067092989481405
FAPs,Penk,Oprd1,ECs,3.0,1.0,1399.63060373864,0.9720174828105366,1.0,0.3333333333333333,0.33487556977876,1.0,468.70209590676694,0.9720174828105366
MuSCs,Fgf21,Fgfr4,MuSCs,1.0,0.3333333333333333,0.6124399441892233,1.0,3.0,1.0,737.6131011562517,0.9769207602686588,451.7437265053747,0.9769207602686588
ECs,Lrpap1,Lrp2,ECs,3.0,1.0,352.5507440052327,0.2733467622309093,1.0,0.3333333333333333,1.27165338312656,0.6263948191777434,448.32234633804,0.1712229957004521
MuSCs,Liph,Lpar4,FAPs,2.0,0.6666666666666666,1.4929398923264852,0.6858820242020197,3.0,1.0,296.73506372501635,0.4813216859706401,443.0076140871186,0.3301298922658715
MuSCs,Gnai2,Cxcr1,MuSCs,3.0,1.0,1435.91865127104,0.2100772921821384,1.0,0.3333333333333333,0.3062199720946117,1.0,439.7069693223503,0.2100772921821384
ECs,Ucn,Crhr2,MuSCs,2.0,0.6666666666666666,1.543258260434937,0.3802479583227897,3.0,1.0,283.6315823903983,0.9221854429747572,437.71678244421446,0.3506591318861488
MuSCs,Myoc,Fzd10,FAPs,3.0,1.0,206.40553606387698,0.02221331614220678,1.0,0.3333333333333333,2.0931365587692903,1.0,432.0349734676741,0.02221331614220678
FAPs,Slitrk1,Ptprs,FAPs,1.0,0.3333333333333333,0.5205070068454666,0.006933299598636459,3.0,1.0,829.7353585282721,0.2814676343543899,431.883067941401,0.0019514994362984448
