"gene"	"Old.FAPs.D0_1"	"Old.FAPs.D0_2"	"Old.FAPs.D0_3"	"Old.sCs.D0_1"	"Old.sCs.D0_3"	"Old.sCs.D0_2"	"Old.ECs.D0_2"	"Old.ECs.D0_1"	"Old.ECs.D0_3"
"ENSMUSG00000026116"	18.64356	18.297531	24.119604	20.50127	27.177511	27.578461	13.12729	27.075838	29.067099
"ENSMUSG00000026117"	0.104565	0	0	0	0	0.03743	0	0	0
"ENSMUSG00000026121"	10.16104	9.869604	12.91033	2.948211	3.012498	3.492795	7.000381	11.172782	0.168884
"ENSMUSG00000026123"	2.565736	2.956161	6.708708	4.708266	6.877792	5.891928	2.043683	5.933195	16.946117
"ENSMUSG00000026125"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000026126"	0.599574	0.449949	0.167818	0.08834	0.222864	0.205746	0.671515	1.87016	20.249531
"ENSMUSG00000026127"	2.439605	2.377859	5.261561	1.931203	2.582098	3.163987	2.434217	5.523775	11.809719
"ENSMUSG00000026134"	4.202733	5.01438	3.575013	1.803242	2.218261	3.075002	2.547227	7.749933	4.335104
"ENSMUSG00000026141"	0	0	0	3.67923	2.682736	2.811065	0.117547	0	0
"ENSMUSG00000026142"	6.475264	6.352343	7.93137	3.375252	5.300352	4.730168	3.420053	4.939031	7.505958
"ENSMUSG00000026147"	0	0	0	0	0.154739	0	0	0	0
"ENSMUSG00000026149"	0	1.138985	1.92262	0	0.562206	1.377354	0.697072	0	2.016756
"ENSMUSG00000026150"	32.853024	29.180965	27.657227	19.173544	27.893534	27.17255	15.484843	31.382509	53.427181
"ENSMUSG00000026153"	10.075698	9.075408	8.995049	8.735656	9.582762	9.337133	5.083905	6.243183	0
"ENSMUSG00000026154"	1.996447	2.410071	2.446165	0.694205	1.23357	1.204251	1.464279	5.744546	0.635125
"ENSMUSG00000026155"	18.161259	19.302979	23.237934	9.970752	13.165798	13.238153	9.734577	22.915358	32.432224
"ENSMUSG00000026156"	0.942654	0	1.232846	0.450362	0.583089	0.435012	0.563816	0.895859	1.77822
"ENSMUSG00000026158"	11.806985	11.936117	15.033696	1.309174	1.096932	1.605213	2.232397	3.917261	85.116539
"ENSMUSG00000026159"	20.074873	18.77762	19.076962	12.530115	11.922149	10.381375	8.673597	14.306452	32.198994
"ENSMUSG00000026162"	0.821046	0.448145	0.522741	0	0.391057	0.622875	0	0.332975	10.774895
"ENSMUSG00000026163"	2.371604	3.234361	4.576208	0.398979	0.353183	0.520083	0	0	0
"ENSMUSG00000026166"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000026175"	0.324016	0.332972	1.650447	0.343818	0	0.245899	0.279872	1.02475	0.63194
"ENSMUSG00000026179"	6.881903	6.691358	8.49028	6.209826	7.151906	8.907536	12.141366	15.700627	3.279258
"ENSMUSG00000026185"	202.944626	318.0466	567.374207	138.197327	312.256042	198.9646	9.365092	13.903352	0.658504
"ENSMUSG00000026187"	4.511465	4.803009	3.98456	2.622905	3.696456	2.746409	0.635566	1.61276	1.363466
"ENSMUSG00000026188"	0	0	0.158005	0	0	0	0	0	0
"ENSMUSG00000026189"	2.669372	2.512534	2.13443	0.729749	1.312156	1.27468	0.264473	0.436353	0.695785
"ENSMUSG00000026192"	9.859131	11.037621	10.646072	4.065106	4.515516	5.673264	2.084928	13.329025	2.275778
"ENSMUSG00000026193"	277.69574	354.853088	404.150909	6.724122	8.858569	9.703525	17.619505	39.596886	23.900326
"ENSMUSG00000026196"	0.041291	0.345084	0.15439	0.13559	0.28157	0.252569	0.891881	1.638028	0.569024
"ENSMUSG00000026197"	4.687027	6.892793	5.310866	2.259761	3.408366	3.87101	2.657179	3.95074	12.282203
"ENSMUSG00000026199"	8.121175	5.101039	6.289459	2.564875	2.592289	3.005431	3.228651	2.437329	11.447457
"ENSMUSG00000026200"	9.657856	8.510488	13.4316	3.61137	2.866675	3.650809	1.65344	4.576026	7.541792
"ENSMUSG00000026202"	6.37325	4.809006	6.145579	4.05052	4.672729	3.720719	2.293576	3.236569	39.848324
"ENSMUSG00000026204"	1.470179	1.014001	0.79246	0.380213	0.236301	0.865335	0.068198	0.696275	0.261121
"ENSMUSG00000026207"	1.066383	2.237505	4.368583	13.508275	13.872428	13.516423	0.68151	0.270237	0
"ENSMUSG00000026208"	9.002339	10.389877	9.174269	43.56514	47.47044	50.835098	3.667173	4.339179	0.420639
"ENSMUSG00000026209"	11.624207	14.63435	21.019634	8.293195	8.189667	6.803702	4.884329	11.314302	4.975002
"ENSMUSG00000026211"	5.982509	7.996255	7.551076	3.820829	4.589288	3.981213	0	0	0
"ENSMUSG00000026219"	38.706005	41.517136	41.694069	20.294842	25.815149	23.432236	20.075851	45.176159	73.615028
"ENSMUSG00000026220"	0	0	0	0	0	0	0	0	2.548599
"ENSMUSG00000026222"	46.049427	46.841503	36.547195	9.351469	10.740367	12.28328	71.982811	83.54081	248.9487
"ENSMUSG00000026224"	0.10985	0.401983	0.204294	0.044574	0.035397	0.035831	0.785962	1.420603	0.697381
"ENSMUSG00000026229"	14.715402	19.477982	16.853941	9.782177	12.013452	12.161442	11.169529	39.157425	18.051895
"ENSMUSG00000026234"	44.676819	38.276524	40.710526	28.950132	31.89123	29.938728	29.35771	109.982277	109.401077
